TIME,year,month,T#AT#pigmeat_e,T#BE#pigmeat_e,T#DE#pigmeat_e,T#DK#pigmeat_e,T#EL#pigmeat_e,T#ES#pigmeat_e,T#FI#pigmeat_e,T#FR#pigmeat_e,T#IE#pigmeat_e,T#LU#pigmeat_e,T#NL#pigmeat_e,T#PT#pigmeat_e,T#SE#pigmeat_e,C#BEL#inflazione,C#ITA#inflazione,C#DEU#inflazione,C#FRA#inflazione,C#ESP#inflazione,C#IRL#inflazione,C#BEL#gdp,C#ITA#gdp,C#DEU#gdp,C#FRA#gdp,C#ESP#gdp,C#IRL#gdp
2008-05-05,2008,5,143.02,138.16,150.57,126.17,159.3,153.17,151.17,137.71,138.46,151.97,133.4,153.43,145.21,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-05-12,2008,5,143.94,139.47,152.28,127.54,164.65,152.21,150.96,136.14,139.76,153.7,135.16,152.43,146.66,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-05-19,2008,5,145.03,140.83,154.3,128.76,,151.4,150.82,135.14,141.0,155.73,136.68,151.86,148.53,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-05-26,2008,5,148.01,142.99,157.65,129.51,,151.7,150.18,135.14,141.59,158.3,,151.86,150.89,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-06-02,2008,6,152.89,146.79,161.84,130.62,180.82,153.02,,136.43,142.96,161.69,143.39,153.43,153.06,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-06-09,2008,6,,150.46,165.48,132.72,186.33,155.28,148.52,139.0,144.3,165.43,147.47,156.0,154.89,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-06-16,2008,6,160.55,153.13,168.07,134.32,190.7,157.93,148.01,142.14,145.68,167.94,149.81,159.29,156.65,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-06-23,2008,6,162.67,154.64,169.47,135.92,192.59,160.47,147.54,145.43,147.1,169.89,151.18,162.57,157.86,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-06-30,2008,6,163.69,154.87,170.47,137.12,192.52,162.77,146.88,148.71,148.01,170.54,151.62,165.71,158.67,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-07-07,2008,7,165.19,155.7,172.22,137.92,192.69,164.58,146.17,151.86,148.9,172.14,152.71,168.57,159.07,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-07-14,2008,7,167.3,157.29,173.94,138.73,192.96,166.16,145.81,154.57,150.38,173.9,154.51,171.14,158.91,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-07-21,2008,7,168.19,157.7,175.15,139.16,193.81,167.47,145.91,156.57,151.13,175.74,155.2,173.43,159.38,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-07-28,2008,7,169.2,158.34,176.62,139.56,195.8,168.01,145.91,157.71,152.38,176.96,156.29,174.71,160.11,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-08-04,2008,8,170.66,159.29,178.43,140.28,198.18,168.8,145.91,158.71,153.66,178.49,158.06,175.43,160.94,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-08-11,2008,8,172.78,160.94,180.7,141.0,200.5,169.49,145.97,159.57,155.28,180.59,160.37,176.0,162.55,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-08-18,2008,8,174.77,162.59,182.67,142.15,203.37,170.37,146.02,160.29,157.04,182.79,162.41,176.57,164.17,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-08-25,2008,8,176.03,163.54,183.95,143.3,206.07,171.43,146.6,160.57,158.73,183.99,163.78,177.14,165.43,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-09-01,2008,9,176.72,164.1,184.71,144.46,208.55,171.96,147.35,160.71,159.54,184.71,164.57,177.29,166.71,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-09-08,2008,9,177.09,164.67,184.66,146.04,210.53,171.91,147.93,160.71,160.29,184.66,165.1,176.86,167.71,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-09-15,2008,9,176.57,164.01,183.61,147.21,211.69,171.1,148.63,160.43,160.51,183.7,164.57,175.57,168.21,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-09-22,2008,9,175.53,162.9,182.21,147.58,211.68,169.42,149.41,159.71,160.15,182.24,163.47,173.57,168.66,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-09-29,2008,9,174.51,161.83,180.8,147.57,210.79,167.31,150.13,158.86,159.44,180.81,162.42,171.14,168.02,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-10-06,2008,10,173.54,160.9,179.34,147.16,208.76,164.61,151.04,158.0,158.58,179.34,161.29,168.0,167.37,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-10-13,2008,10,172.46,159.94,177.42,146.36,206.38,161.25,151.56,157.0,157.14,177.56,160.16,164.57,166.13,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-10-20,2008,10,169.88,157.86,174.33,145.54,203.89,157.0,151.88,155.14,156.03,174.59,157.45,160.57,164.67,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-10-27,2008,10,166.34,154.46,170.67,143.93,200.69,152.25,152.38,152.71,154.36,171.2,153.75,156.14,163.15,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-11-03,2008,11,162.73,151.3,167.19,141.7,197.13,147.57,152.34,149.71,152.73,167.77,149.92,151.86,161.44,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-11-10,2008,11,159.42,148.33,164.22,139.59,194.19,143.47,152.17,146.71,151.08,164.91,146.63,148.29,159.55,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-11-17,2008,11,156.28,145.64,161.69,137.44,191.92,140.09,152.06,143.71,148.88,162.44,143.88,145.43,157.69,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-11-24,2008,11,153.22,143.4,159.2,135.26,189.93,137.79,152.25,140.57,146.66,160.09,141.2,143.86,155.47,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-12-01,2008,12,150.1,140.99,157.01,133.48,188.71,136.15,152.35,137.57,145.02,157.94,138.51,142.57,153.51,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-12-08,2008,12,148.1,139.36,155.6,131.12,187.69,135.43,152.35,135.43,142.8,156.44,137.01,142.0,151.39,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-12-15,2008,12,146.98,138.46,154.51,129.12,188.07,135.29,152.48,134.14,141.15,155.2,136.1,142.0,147.6,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-12-22,2008,12,145.87,137.54,153.41,127.44,189.07,135.77,153.18,133.29,139.48,154.19,135.3,142.71,143.11,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2008-12-29,2008,12,144.63,136.67,152.04,126.13,190.67,136.46,,132.14,138.37,153.13,134.51,143.43,139.34,4.49,3.35,2.63,2.81,4.08,4.06,48303.4,40944.91,45612.71,45515.96,35510.72,61353.11
2009-01-05,2009,1,143.05,135.57,149.99,124.84,192.45,136.72,153.48,130.71,136.93,151.29,133.11,144.14,135.56,,,,,,,,,,,,
2009-01-12,2009,1,140.75,133.43,147.46,123.56,194.16,135.8,153.29,129.43,135.49,149.27,131.18,143.86,131.81,,,,,,,,,,,,
2009-01-19,2009,1,138.66,131.53,144.99,122.16,195.36,134.51,152.73,128.14,134.02,146.87,129.25,143.14,128.63,,,,,,,,,,,,
2009-01-26,2009,1,137.01,129.89,142.82,121.19,196.14,133.06,152.42,126.86,132.6,144.76,127.33,142.14,126.38,1.89,1.88,1.31,1.26,1.58,-0.82,46278.77,38820.25,43348.51,43356.99,33601.45,56084.53
2009-02-02,2009,2,135.34,128.6,141.45,120.23,196.05,131.82,151.88,125.43,131.19,143.5,126.0,141.14,125.65,1.24,1.51,0.97,0.87,0.96,-2.04,45772.61,38289.09,42782.47,42817.25,33124.14,54767.38
2009-02-09,2009,2,134.51,128.14,140.66,118.86,195.24,130.87,151.14,124.43,129.81,142.53,124.86,140.29,126.02,0.6,1.14,0.64,0.48,0.34,-3.26,45266.45,37757.92,42216.42,42277.51,32646.82,53450.24
