TIME,year,month,T#AT#IT,T#AU#IT,T#BE#IT,T#CH#IT,T#CY#IT,T#CZ#IT,T#DE#IT,T#DK#IT,T#ES#IT,T#FR#IT,T#GB#IT,T#GR#IT,T#HR#IT,T#HU#IT,T#IL#IT,T#MT#IT,T#NL#IT,T#NO#IT,T#PL#IT,T#PT#IT,T#RO#IT,T#RU#IT,T#SE#IT,T#SI#IT,T#SK#IT,T#TR#IT,T#US#IT,C#BEL#gdp,C#ITA#gdp,C#DEU#gdp,C#FRA#gdp,C#ESP#gdp,C#IRL#gdp,C#BEL#inflazione,C#ITA#inflazione,C#DEU#inflazione,C#FRA#inflazione,C#ESP#inflazione,C#IRL#inflazione
2014-08-01,2014,8,642898.14,321880.0,245824.14,377880.14,13390.71,,4263684.43,40678.86,97632.0,1491266.0,586081.71,74026.86,53001.43,56318.29,,,1142867.71,,414331.57,19120.57,200945.14,78783.43,61051.0,304191.86,,71865.29,802368.0,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76,0.34,0.24,0.91,0.51,-0.15,0.18
2014-09-01,2014,9,643299.43,322495.86,233859.14,370918.86,11279.0,,4361495.14,40278.14,95226.86,1454951.57,601555.71,66353.43,41923.43,46271.86,,,1098079.43,,417837.57,19801.86,225107.86,74974.57,69489.14,290788.57,,81338.14,781152.86,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76,0.34,0.24,0.91,0.51,-0.15,0.18
2014-10-01,2014,10,642942.29,296695.43,263971.57,402937.29,9292.43,,4482644.29,47864.29,103239.29,1411003.14,604182.43,79117.57,35069.0,34613.43,,,1103462.29,,389996.57,21211.43,247427.57,78614.57,66699.71,306134.86,,98476.0,838179.43,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76,0.34,0.24,0.91,0.51,-0.15,0.18
2014-11-01,2014,11,619814.86,260184.71,249860.14,410926.14,6238.14,,4547504.0,44204.29,120237.0,1437079.14,590131.71,81383.29,33413.71,50680.71,,,1134106.0,,367691.71,23256.71,242082.29,110962.86,63386.86,306553.0,,109553.71,855280.43,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76,0.34,0.24,0.91,0.51,-0.15,0.18
2014-12-01,2014,12,,272026.43,223744.43,422141.86,8455.71,,4259847.57,42529.57,129179.43,1409858.14,593952.43,69758.29,31235.43,41309.57,,,1087346.57,,325829.0,25567.71,219188.0,111750.14,53864.14,289978.0,,139031.57,901434.0,47764.07,35565.72,48023.87,43068.55,29513.65,55752.76,0.34,0.24,0.91,0.51,-0.15,0.18
2015-01-01,2015,1,521751.14,267372.14,219485.71,406300.14,,,4372003.0,39191.29,136003.14,1421827.71,602178.0,64514.57,26162.57,29817.71,,,1055064.43,,310595.0,27421.71,228063.43,89876.57,54962.43,284716.14,,142177.14,895926.43,46798.96,,47035.21,,28976.61,56670.84,0.37,0.21,0.85,0.44,-0.2,0.12
2015-02-01,2015,2,506937.29,250717.29,237326.0,381900.0,,,4253779.14,38414.57,116296.86,1529285.43,580251.57,71690.86,39483.14,33031.29,,,1029746.43,,301103.0,26959.71,218287.43,88023.0,61643.57,266682.14,,135800.14,851909.14,,,46046.55,,,57588.91,0.4,0.18,0.79,0.37,-0.25,0.05
2015-03-01,2015,3,587000.86,262343.0,280469.14,410858.0,,95731.86,4787893.14,40376.43,129884.57,1662898.86,624422.71,82488.57,54279.57,35600.14,,,1196280.71,,315244.0,27364.86,249934.43,87543.29,76815.57,306340.43,,140347.29,887108.57,,,45057.89,,,,0.43,0.15,,,-0.3,
2015-04-01,2015,4,629969.71,285309.57,282780.86,420006.29,,113841.43,4853672.86,40958.0,140080.86,1694257.43,613778.43,74409.14,67450.0,39017.57,42082.57,,1187880.86,48169.57,304903.14,31906.0,236662.43,78181.43,69595.0,291627.14,,137396.71,973057.57,43903.63,32523.82,44069.23,39402.48,27365.49,59425.05,0.47,0.13,0.68,0.24,-0.35,-0.09
2015-05-01,2015,5,614240.86,289757.0,285225.0,391219.14,,127374.57,4761272.14,34286.29,155856.86,1674507.43,620557.86,80034.14,82034.14,38046.86,36051.43,,1144268.0,38661.14,313579.29,28600.57,210470.0,79260.57,65152.29,288898.86,,128570.57,974291.14,42938.52,31763.34,43080.57,38485.96,26828.44,60343.12,0.5,0.1,0.63,0.17,-0.4,-0.15
2015-06-01,2015,6,620079.0,269140.14,300116.0,402235.86,,126864.86,4723147.0,37241.57,149987.29,1611612.57,604413.0,89007.0,94471.29,25350.0,,,1171412.86,,365950.14,32801.86,207443.29,,74680.29,287335.29,,134565.71,1003661.14,41973.41,31002.86,42091.92,37569.44,26291.4,61261.19,0.53,0.07,0.57,0.1,-0.45,-0.22
2015-07-01,2015,7,658305.86,258324.86,316614.71,433799.71,,138154.14,5197000.43,37054.71,154896.57,1744223.57,633951.29,89086.29,121512.29,26199.43,,,1287841.86,,411041.29,39946.43,231937.43,108127.43,77062.71,275899.57,59364.71,117513.14,1053100.71,41008.3,30242.39,41103.26,36652.92,25754.36,62179.26,0.56,0.04,0.51,0.04,-0.5,-0.29
2015-08-01,2015,8,635854.0,290935.43,290609.71,401342.0,,130191.71,4678975.29,45828.57,142974.71,1538004.71,574833.0,83230.0,120774.86,22959.86,,,1179153.57,,382450.43,,195669.86,121547.43,,,62891.57,114525.71,1014386.57,41008.3,30242.39,41103.26,36652.92,25754.36,62179.26,0.56,0.04,0.51,0.04,-0.5,-0.29
2015-09-01,2015,9,616922.71,323022.43,301773.0,407287.29,,124851.57,4863527.57,37882.29,162064.57,1474667.86,551668.57,85288.57,134096.0,23839.0,,,1177251.43,,364405.57,,189053.14,116617.71,,255860.43,65108.86,129656.0,1024176.71,41008.3,30242.39,41103.26,36652.92,25754.36,62179.26,0.56,0.04,0.51,0.04,-0.5,-0.29
